DMU,efficiency,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,,,,,,,,,,
91,1,0,0.02,0,0.054,0.022,0.026,0.071,0,0,91,11,8,8,6,22,1,14,13,0.15,,,91,0.000%,16.097%,0.000%,32.596%,48.692%,2.616%,100.000%,0.000%,0.000%,,,,,,,,,,,,
92,0.75,0,0,0.111,0,0,0,0.063,0,0,92,24,16,9,11,21,22,12,12,0.45,,,92,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
93,1,0,0,0.111,0,0,0,0.063,0,0,93,24,17,9,12,21,21,16,16,0.8,,,93,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
94,0.789,0,0.03,0.04,0.037,0.003,0,0,0.065,0.009,94,13,8,9,9,21,9,11,12,0.4,,,94,0.000%,24.096%,36.145%,33.434%,6.325%,0.000%,0.000%,99.541%,0.459%,,,,,,,,,,,,
95,0.771,0,0.007,0.07,0.028,0.002,0,0,0.064,0,95,19,10,9,9,21,17,12,12,0.03,,,95,0.000%,7.042%,63.380%,25.352%,4.225%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
96,0.763,0,0.004,0.08,0.026,0,0,0,0.064,0.001,96,24,12,9,9,21,13,12,12,0.4,,,96,0.000%,4.790%,71.856%,23.353%,0.000%,0.000%,0.000%,99.948%,0.052%,,,,,,,,,,,,
97,0.975,0,0.027,0,0.068,0.021,0,0.033,0.048,0.024,97,8,6,9,8,14,7,12,12,0.15,,,97,0.000%,16.200%,0.000%,54.400%,29.400%,0.000%,40.590%,59.041%,0.369%,,,,,,,,,,,,
98,0.838,0.007,0.009,0.084,0.008,0,0,0.031,0.033,0.008,98,12,10,9,9,21,14,13,13,0.38,,,98,8.383%,8.982%,75.449%,7.186%,0.000%,0.000%,48.261%,51.375%,0.364%,,,,,,,,,,,,
99,0.801,0,0.017,0.076,0,0.01,0,0.034,0.032,0,99,14,6,9,11,21,12,12,12,0.15,,,99,0.000%,10.241%,68.675%,0.000%,21.084%,0.000%,51.515%,48.485%,0.000%,,,,,,,,,,,,
100,1,0,0.007,0,0,0.068,0.036,0,0.071,0,100,0,6,9,9,14,0,12,14,0.03,,,100,0.000%,4.225%,0.000%,0.000%,95.775%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
101,0.75,0,0,0.111,0,0,0,0,0.063,0,101,24,17,9,9,21,20,12,12,0.3,,,101,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
